source_id	title	year	authors	doi	citation_key	zotero_item_key	attachment_keys	candidate_families	catalogue_class	screening_disposition	reason
zotero:A3SJB7VJ	An Efficient Algorithm for Calculating the Earth Return Mutual Impedance of Conductors With Asymptotic Extraction Technology	05/2009	Jun Zou; Jae Bok Lee; Sug Hun Chang	10.1109/TEMC.2009.2016347		A3SJB7VJ	CKK7EYDI	external-impedance		application-only	Abstract and derivation inspected; asymptotic extraction decomposes Pollaczek's existing mixed mutual integral to accelerate quadrature but does not change the physical expression.
zotero:VBH9VJFP	An Efficient and Generalized Algorithm for Calculating the Earth Return Impedance With Pollaczek Integral Using the Moment Technique	12/2013	Jun Zou; Chenglong Zhou; Boyuan Zhang; Jaebok Lee; Sughun Chang	10.1109/TEMC.2013.2258349		VBH9VJFP	T2IRPSHS	external-impedance	core:C071	application-only	Abstract and moment construction inspected; piecewise-quadratic moment functions are a numerical integration algorithm for Pollaczek's existing integral, not a new line-parameter formulation.
zotero:YWR8UXS3	An electromagnetic model for transients in grounding systems	Oct./1990	L. Grcev; F. Dawalibi	10.1109/61.103673		YWR8UXS3	KRM4LQLT;RXGAY2XK	internal-impedance		out-of-scope	Local Markdown abstract, field model, and conclusions inspected; it models transient grounding electrodes/networks rather than per-unit-length line or cable parameters.
zotero:GCWUILIG	An Equivalent Surface Current Approach for the Computation of the Series Impedance of Power Cables with Inclusion of Skin and Proximity Effects	10/2013	Utkarsh R. Patel; Bjrn Gustavsen; Piero Triverio	10.1109/TPWRD.2013.2267098	Patel2013	GCWUILIG	7E5D3DDJ;T5HF7RW3	internal-impedance		extracted	Original publication was image-screened; the round-conductor surface-admittance operator and MoM assembly for skin/proximity impedance were transcribed.
zotero:XD3PLNRU	An Improved Method for the Calculation of the Internal Impedances of Solid and Hollow Conductors With the Inclusion of Proximity Effect	10/2012	Alberto Pagnetti; Alain Xemard; Françoise Paladian; Carlo Alberto Nucci	10.1109/TPWRD.2012.2212466	Pagnetti2012	XD3PLNRU	59SBVEH7	internal-impedance		extracted	Original publication was image-screened; the solid/hollow subconductor Bessel and magnetic-energy proximity formulation was transcribed.
zotero:XIMGYW2K	An investigation of earth and sea-return impedances of power electrical cables	10/2023	F.A. Uribe; O. Ramos-Leaños; Pavel Zuniga	10.1016/j.epsr.2023.109608		XIMGYW2K	76G6C8YP	external-impedance		application-only	Publication screened. It benchmarks numerical evaluation of inherited earth- and sea-return models and recommends integration choices; no scientifically distinct physical equation family was identified.
zotero:W3RA7L7C	An Investigation of Earth-Return Impedance Between Overhead and Underground Conductors and Its Approximation	08/2009	Akihiro Ametani; Tetsuzo Yoneda; Yoshihiro Baba; Naoto Nagaoka	10.1109/TEMC.2009.2019953	Ametani2009	W3RA7L7C	3FLS75NC;27IMHDQL;3M3723GB	external-impedance	core:C063	extracted	Original PDF images pp. 860-865 inspected; mixed exponential-image equation (27) and separate power-frequency reduction (30)-(32) transcribed. Printed depth-sign, derivative/final-factor, critical-frequency, and bibliography author conflicts retained. Pollaczek and Lucca reproductions identified as secondary parent/comparison witnesses; originals remain separate candidates.
zotero:E5TACEF5	An Investigation of Frequency and Electromagnetic Transient Responses on a VSC-HVDC Cable Network	8/2024	Haoyan Xue; Jean Mahseredjian; Jesus Morales; Hani Saad; Sébastien Dennetiere; Tao Xue	10.1109/TPWRD.2024.3388892		E5TACEF5	MSQXPP2Z			application-only	Local PDF abstract and model-validation sections inspected; it studies frequency/transient response of a VSC-HVDC cable network using established cable formulations.
zotero:3Z74VDJD	An investigation of harmonic induced voltages on medium-voltage cable sheaths and nearby pipelines	12/2020	T.A. Papadopoulos; I.P. Chaleplidis; A.I. Chrysochos; G.K. Papagiannis; K. Pavlou	10.1016/j.epsr.2020.106594		3Z74VDJD	XC8YJXC2			application-only	Local PDF abstract and methods inspected; it applies established cable/pipeline models to harmonic induced voltages without a distinct new parameter formulation.
zotero:T62E4RN4	Analysis of Cross-Bonded Cables Using Accurate Model Parameters	2/2023	Haoyan Xue; Jean Mahseredjian; Jesus Morales; Ilhan Kocar	10.1109/TPWRD.2022.3179832		T62E4RN4	YIS5EAVA			application-only	Local PDF abstract and analysis inspected; it studies cross-bonded cable behavior using previously published accurate model parameters rather than deriving a new family formula.
zotero:9YTAFUUA	Analysis of Electrical Interference from Power Lines to Gas Pipelines. I. Computation Methods	1989	F. P. Dawalibi; R. D. Southey	10.1109/61.32680	Dawalibi1989	9YTAFUUA	67K4D4QE	external-impedance		extracted	Original-author technical-manual reproduction p. 53 image-screened; mixed external-impedance equation (8) and definitions (3)-(5) were transcribed. Formula attachment 67K4D4QE is stored under separate review parent TM7JDYV2, while journal metadata belong to item 9YTAFUUA. The reproduction prints a dimensionally conflicting gamma_i definition, retained literally. Journal DOI was verified, but the original IEEE equation page was not independently matched.
zotero:EN8YY3BK	Analysis of formulas to calculate the AC resistance of different conductors’ configurations	10/2015	Jordi-Roger Riba	10.1016/j.epsr.2015.05.023		EN8YY3BK	N3DCESGC	internal-impedance		application-only	Local PDF formula survey and comparisons inspected; it analyzes existing AC-resistance expressions for conductor configurations rather than establishing an original one.
catalogue:N011	Analysis of Ground Return Impedance Calculation Methods for Modeling of Underground Cables for Lightning Studies	2018	Melih Güneri; Bora Alboyacı	10.3906/elk-1706-32	Guneri2018			external-impedance	navigation:N011	extracted	Original PDF screened. Equations (4)–(20) state and compare Pollaczek, Carson, Wedepohl–Wilcox, Saad–Gaba–Giroux, Vance, Petrache, and Theodoulidis earth-return impedance expressions. The Wedepohl–Wilcox, Vance, and Petrache analytical variants are retained as separate formula records; the others are equation witnesses for existing records.
zotero:HZ2YFUFY	Analysis of Grounding Systems Including Freely Oriented Plates of Arbitrary Shape in Multilayer Soils	11/2015	Huiliang Zhao; Simon Fortin; Farid P. Dawalibi	10.1109/TIA.2015.2448614		HZ2YFUFY	N74YNJE8;EYEFL4KR			out-of-scope	Local Markdown abstract and formulation inspected; it treats finite grounding plates of arbitrary orientation, not the infinite line/cable geometries in scope.
zotero:63XGHT6L	Analysis of Overvoltages in Power Systems Due to Lightning Strikes: On the Effects of the Line Modeling Approach and Frequency-Dependent Soil Properties	2024-9-2	Tainá Fernanda Garbelim Pascoalato; Walter Luiz Manzi De Azevedo; Anderson Rircardo Justo De Araújo; Amauri Gutierrez Martins-Britto; Sérgio Kurokawa; José Pissolato Filho	10.1109/UPEC61344.2024.10892591		63XGHT6L	T5VFAZBD	external-impedance;external-admittance		application-only	Local PDF abstract and comparison sections inspected; it contrasts Carson/Nakagawa soil modeling in a lightning-overvoltage case and introduces no new impedance/admittance expression.
zotero:DFDXBDHS	Analysis of Pipe-Type Cable Impedance Formulations at Low Frequencies	10/2013	Hans Kr. Hoidalen	10.1109/TPWRD.2013.2272343	Hoidalen2013	DFDXBDHS	IRN8DLNQ;77JC6SVA;HX5QFUPX	internal-impedance		extracted	The manuscript provides core-proximity, finite-wall, and infinite-wall low-frequency pipe-cable approximations. Equation (23), the publisher-version match, and the Dwight comparison remain unresolved.
catalogue:C023	Analysis of Semi-Infinite and Finite Thin-Wire Antennas Above a Dissipative Earth	1976	R. G. Olsen; D. C. Chang	10.1029/RS011i011p00867	Olsen1976			external-impedance;external-admittance	core:C023	application-only	Original PDF screened. The paper applies the inherited Chang–Olsen infinite-wire kernel in a Wiener–Hopf finite-antenna calculation and reports reflection, current, and input-conductance results; it does not define an independent p.u.l. impedance or admittance.
catalogue:C070	Analytical Study of the Frequency-Dependent Earth Conduction Effects on Underground Power Cables	2013	Theofilos A. Papadopoulos; Dimitrios A. Tsiamitros; Grigoris K. Papagiannis					external-impedance;external-admittance	core:C070	duplicate	Catalogue row duplicates Zotero row ZMN8UFTS for the same 2013 underground-cable earth-conduction paper.
zotero:ZMN8UFTS	Analytical study of the frequency‐dependent earth conduction effects on underground power cables	03/2013	Theofilos A. Papadopoulos; Andreas I. Chrysochos; Grigoris K. Papagiannis	10.1049/iet-gtd.2012.0425		ZMN8UFTS	9INA77KD;YVMQ4937	internal-impedance;external-impedance;external-admittance;insulation-admittance		application-only	Publication screened. The analytical study compares established Pollaczek/Sunde and cable-assembly expressions under frequency-dependent soil assumptions; its conclusions are parameter studies rather than a new formulation.
zotero:986IIGXE	ANSI/IEEE Std 81-1983 (Revision of IEEE Std 81-1962) An American National Standard IEEE Guide for Measuring Earth Resistivity, Ground Impedance, and Earth Surface Potentials of a Ground System					986IIGXE	VAYGW84K	external-impedance		out-of-scope	Local standard inspected; IEEE 81 specifies earth-resistivity and grounding-system measurement practice, not one of the requested line/cable formula families.
zotero:WUMSCQ5R	Application guide for extruded land cables		J Kaumanns; M Bacchini; G Gehlin; B Gregory; D Johnson; T Kurata; H-P May; F Peurton; R Reinoso; J Tarnowski; M A Vilhelmsen; D Wald			WUMSCQ5R	7GTPDZNX;YK3K32CJ			out-of-scope	Local Markdown identifies CIGRE TB 669; its subject is mechanical forces in large-cross-section cable systems, not the five physical equation families.
zotero:IZGZ69JL	Application of Electromagnetic Field Theory to Measure Correct Grounding System Impedance: A Parametric Analysis	2005	Robert D Southey; P Eng Winston Ruan			IZGZ69JL	VGY42LKU	external-impedance		out-of-scope	Local PDF abstract and analysis inspected; it evaluates grounding-system impedance measurement error and does not derive distributed line/cable parameters.
zotero:A48382KQ	Arithmetic and Logical Models of Stranded Transmission Line Conductors for Voltage and Voltage-Drop Analysis		Abdul Rasak Zubair; Adeboye Olatunbosun			A48382KQ	2R7LIC8A;CLZ7SR9G	internal-impedance		out-of-scope	Local PDF abstract and models inspected; it computes strand-center coordinates/GMR for graphical voltage-drop analysis, not a skin/proximity internal-impedance formulation.
zotero:S2GGJV7A	Assessment of Distinct Tower Structures Impact on the Transient Behavior for Overhead Lines		A C S Lima; J P L Salvador; A P C Magalhaes			S2GGJV7A	CLZ6293S			application-only	Local PDF abstract and model setup inspected; it evaluates tower-profile effects on line transients using existing parameter models.
zotero:5BZIHLM2	Assessment of the transmission line theory in the modeling of multiconductor underground cable systems for transient analysis using a full-wave FDTD method	10/2023	Naiara Duarte; Alberto De Conti; Rafael Alipio; Farhad Rachidi	10.1016/j.epsr.2023.109570		5BZIHLM2	2Z5PPI4A	external-admittance		application-only	Local PDF abstract and validation sections inspected; it uses full-wave FDTD to validate previously published underground-cable ground-return expressions and a closed-form approximation.
zotero:VCQ75MC2	C. GRODZINSKI CA H. NYFFENEGGER CH W. WANG CN R.A. OLSEN DK G. DENCHE ES M. NGUYEN-TUAN FR N. COUTURIER FR J. PILGRIM GB L. COLLA IT S. MASHIO JP P. VAN VELZEN NL O. CAKMAK TR T. DU PLESSIS ZA		T Zhao; R Bascom; C Grodzinski; H Nyffenegger; W Wang; R A Olsen; G Denche; M Nguyen-Tuan; N Couturier; J Pilgrim; L Colla; S Mashio; P Van Velzen; O Cakmak; T Du Plessis; G Bucea			VCQ75MC2	V4NXJJYW			application-only	Local CIGRE brochure contents and modeling chapters inspected; it is design/testing/maintenance guidance for sheath-bonding systems and relies on established cable parameter methods.
zotero:QL7VGW93	C004_248705719-Pollaczek-Aleman1926				Pollaczek1926	HQYGB9D3	QL7VGW93	external-impedance		extracted	Original 1926 German publication was page-image screened; its generalized induction Green-function representation and source definitions were transcribed without modernizing notation.
zotero:S4RMPH49	Cable modelling in ATP – from NODA to TYPE94		Hans Kristian Høidalen; Amir Hayati Soloot; O S Bragstadspl			S4RMPH49	SJLYL5UI;7PVFZDK3			out-of-scope	Local PDF abstract and implementation inspected; it compares/fits ATP cable transient models (Noda, vector fitting, Type 94) rather than deriving physical cable parameters.
zotero:7UV9BHU4	Cable System Transients		Akihiro Ametani			7UV9BHU4	E99DNVNR			application-only	Local book and relevant earth/cable chapters inspected; it is a secondary synthesis and cites original formulations that are inventoried separately.
catalogue:N008	Cable System Transients: Theory, Modeling and Simulation	2015	Akihiro Ametani; T. Ohno; Naoto Nagaoka					external-impedance;external-admittance	navigation:N008	duplicate	Navigation catalogue row identifies the same 2015 Ametani–Ohno–Nagaoka book held as Zotero row 7UV9BHU4.
