Record	Scope	Implementation	Module	Identifier	Formula source
external-admittance/2011/two-layer-earth-underground-upper-layer-potential-coefficient/Papadopoulos2011.md	Candidate	Verified	EarthAdmittance	Papadopoulos2011	src/engine/earthadmittance/formulas/papadopoulos2011.jl
external-admittance/2018/complete-field-and-quasi-tem-underground/Xue2018b.md	Candidate	Verified	EarthAdmittance	Xue2018b	src/engine/earthadmittance/formulas/xue2018.jl
external-admittance/2018/two-half-space-mixed-full-spectrum/Pawlik2018.md	Candidate	Equivalent	EarthAdmittance	MartinsBritto2024	src/engine/earthadmittance/formulas/martinsbritto2024.jl
external-admittance/2018/homogeneous-earth-underground-cable-system-matrix/Magalhaes2018.md	Candidate	Verified	EarthAdmittance	Magalhaes2018	src/engine/earthadmittance/formulas/magalhaes2018.jl
external-admittance/2018/quasi-full-wave-single-conductor/DeLima2018.md	Candidate	Implemented	EarthAdmittance	DeLima2018	src/engine/earthadmittance/formulas/delima2018.jl
external-admittance/2021/four-layer-overhead-exact-potential/Xue2021.md	Candidate	Implemented	EarthAdmittance	Xue2021	src/engine/earthadmittance/formulas/xue2021.jl
external-admittance/2021/n-layer-equivalent-propagation-overhead/Xue2021.md	Candidate	Implemented	EarthAdmittance	Xue2021	src/engine/earthadmittance/formulas/xue2021.jl
external-admittance/2023/three-medium-seabed-potential-matrix/DiLorenzo2023.md	Candidate	Implemented	EarthAdmittance	DiLorenzo2023	src/engine/earthadmittance/formulas/dilorenzo2023.jl
external-admittance/2023/xue-potential-closed-form/DeConti2023a.md	Candidate	Implemented	EarthAdmittance	DeConti2023a	src/engine/earthadmittance/formulas/deconti2023a.jl
external-admittance/2023/xue-potential-small-argument/DeConti2023b.md	Candidate	Implemented	EarthAdmittance	DeConti2023b	src/engine/earthadmittance/formulas/deconti2023b.jl
external-admittance/2024/homogeneous-earth-mixed-potential-coefficient/MartinsBritto2024.md	Candidate	Verified	EarthAdmittance	MartinsBritto2024	src/engine/earthadmittance/formulas/martinsbritto2024.jl
external-admittance/1996/multiconductor-lossy-ground-wideband/DAmore1996.md	Deferred	Deferred	-	-	-
external-admittance/2001/two-half-space-potential/Maaouni2001.md	Candidate	Implemented	EarthAdmittance	Maaouni2001	src/engine/earthadmittance/formulas/maaouni2001.jl
external-admittance/2018/multilayer-hvdc-electrodynamic-fem/Mouhaidali2018.md	Deferred	Deferred	-	-	-
external-admittance/2019/generalized-potential-air-lossy-earth/Mariscotti2019.md	Candidate	Implemented	EarthAdmittance	Mariscotti2019	src/engine/earthadmittance/formulas/mariscotti2019.jl
external-admittance/2020/thin-insulated-wire-two-half-space/Pawlik2020.md	Candidate	Equivalent	EarthAdmittance	MartinsBritto2024	src/engine/earthadmittance/formulas/martinsbritto2024.jl
external-admittance/2026/double-exponential-quadrature/Pires2026.md	Candidate	Implemented	EarthAdmittance	Xue2018b	src/engine/earthadmittance/formulas/xue2018.jl
insulation-impedance/1978/thin-jacket-modal-series/Wait1978.md	Candidate	Equivalent	InsulationImpedance;InsulationAdmittance	Ametani1980;Ametani2004	src/engine/insulationimpedance/formulas/ametani1980.jl;src/engine/insulationadmittance/formulas/ametani2004.jl
insulation-impedance/1980/coaxial-insulation-magnetic-series-terms/Ametani1980.md	Candidate	Verified	InsulationImpedance	Ametani1980	src/engine/insulationimpedance/formulas/ametani1980.jl
insulation-impedance/1995/offset-cores-inside-cylindrical-shield-logarithmic-field-terms/Kane1995.md	Candidate	Equivalent	PipeImpedance	DaSilva2006	src/engine/pipeimpedance/formulas/dasilva2006.jl
insulation-admittance/1980/lossless-coaxial-potential-coefficients/Ametani1980.md	Candidate	Verified	InsulationAdmittance	Ametani1980	src/engine/insulationadmittance/formulas/ametani1980.jl
insulation-admittance/1995/offset-cores-shield-lossless-capacitance-potential-relations/Kane1995.md	Candidate	Implemented	PipeAdmittance	Kane1995	src/engine/pipeadmittance/formulas/kane1995.jl
insulation-admittance/2004/semiconducting-screen-complex-permittivity/Ametani2004.md	Candidate	Verified	InsulationAdmittance;SemiconAdmittance	Ametani2004;Ametani2004	src/engine/insulationadmittance/formulas/ametani2004.jl;src/engine/semiconadmittance/formulas/ametani2004.jl
insulation-admittance/2019/multiple-semiconducting-screens-series-coaxial/Ghosh2019.md	Candidate	Equivalent	InsulationAdmittance	Ametani2004	src/engine/insulationadmittance/formulas/ametani2004.jl
insulation-admittance/1984/semiconducting-screens-series-coaxial/Weeks1984.md	Candidate	Implemented	InsulationAdmittance	Weeks1984	src/engine/insulationadmittance/formulas/weeks1984.jl
insulation-admittance/2015/three-core-cable-fem/Hafner2015.md	Deferred	Deferred	-	-	-
insulation-admittance/2020/thin-wire-lossy-coating/Pawlik2020.md	Candidate	Equivalent	InsulationAdmittance	Ametani2004	src/engine/insulationadmittance/formulas/ametani2004.jl
insulation-admittance/2022/n-semiconductor-screens-radial-network/Ghosh2022.md	Candidate	Equivalent	InsulationAdmittance	Ametani2004	src/engine/insulationadmittance/formulas/ametani2004.jl
internal-impedance/1973/hollow-shell-hyperbolic-approximation/Wedepohl1973.md	Candidate	Verified	InternalImpedance	Wedepohl1973	src/engine/internalimpedance/formulas/wedepohlwilcox1973.jl
internal-impedance/2020/hollow-shell-leading-asymptotic/Zhao2020.md	Candidate	Verified	InternalImpedance	Zhao2020	src/engine/internalimpedance/formulas/zhao2020.jl
external-impedance/1983/overhead-cubic-complex-image-correction/Alvarado1983.md	Candidate	Verified	EarthImpedance	Alvarado1983	src/engine/earthimpedance/formulas/alvaradobetancourt1983.jl
external-impedance/1995/buried-self-leading-logarithm/Bridges1995.md	Candidate	Verified	EarthImpedance	Bridges1995	src/engine/earthimpedance/formulas/bridges1995.jl
external-admittance/2021/classical-transmission-line-reference/Ametani2021.md	Candidate	Verified	EarthAdmittance	Ametani2021	src/engine/earthadmittance/formulas/ametani2021.jl
external-admittance/2007/impedance-derived-matrix-extension/Theethayi2007.md	Candidate	Verified	EarthAdmittance	Theethayi2007	src/engine/earthadmittance/formulas/theethayi2007.jl
